年度,學號,
106,04117017,"C,S,A"
106,04117018,"A,C,S"
106,04117022,"S,A,E,I"
106,04117031,"S,C,E"
106,04117032,"A,S"
106,04117050,"R,A,S"
106,04117071,"A,E,S"
106,04117901,"S,A,E"
106,04121145,"A,I,R"
106,04121322,"S,A,C"
106,04121336,"S,C,E"
106,04122101,A
106,04122102,"A,I,R"
106,04122103,"I,A,E"
106,04122104,"S,A,E"
106,04122105,"R,A,I"
106,04122108,"A,C,I,R"
106,04122111,"A,S,I"
106,04122112,"E,A,C,I"
106,04122113,"A,C,S"
106,04122114,"E,A,C"
106,04122115,"E,S"
106,04122116,"C,I,S"
106,04122117,"S,A"
106,04122120,"S,I,R"
106,04122121,"C,I,S"
106,04122124,"A,C,R"
106,04122125,"A,C,E,S"
106,04122127,"S,A,R"
106,04122131,"A,I,S"
106,04122133,"A,E,S"
106,04122137,"A,E,I,S"
106,04122138,"I,S,E"
106,04122139,"I,R"
106,04122140,"A,E,R"
106,04122141,"A,S,R"
106,04122143,"C,I,A,S"
106,04122144,"I,R,S"
106,04122145,"A,R,C"
106,04122147,"A,S"
106,04122149,"C,S,I"
106,04122150,"A,I,R"
106,04122151,"A,C,I"
106,04122152,"A,C,R"
106,04122154,"A,C,I,R"
106,04122155,"A,C,R,S"
106,04122157,"E,S,A"
106,04122159,"C,I,S"
106,04122172,"I,C,A"
106,04122174,"S,A,R"
106,04122176,"A,C,I"
106,04122210,"A,S"
106,04122221,"A,E,I"
106,04122229,"A,C,R,S"
106,04122230,"A,C,S"
106,04122233,"S,A,I"
106,04122235,"C,A,I,R"
106,04122250,"A,C,R"
106,04122254,"A,C,S"
106,04122301,"R,I,S"
106,04122302,"A,I,S"
106,04122303,"R,S,A,E"
106,04122304,"A,C,I"
106,04122307,"R,C,I"
106,04122308,"A,C,I"
106,04122310,"A,E,S"
106,04122311,"A,E,C"
106,04122312,"S,R"
106,04122313,"R,C"
106,04122314,"I,C"
106,04122315,"I,R"
106,04122316,"S,A,I,R"
106,04122317,"S,A,R"
106,04122318,"I,E"
106,04122319,"S,A,E"
106,04122320,"I,A,R"
106,04122322,"C,A,E"
106,04122324,"A,R,S"
106,04122326,"C,A,S"
106,04122328,"C,I,R"
106,04122330,"A,C,S"
106,04122331,"S,C,R"
106,04122334,"C,E,I,R"
106,04122335,"C,A,I"
106,04122337,"R,I,E"
106,04122339,"E,A,S"
106,04122340,"C,S,I"
106,04122341,"R,C,I"
106,04122343,"S,A,E"
106,04122344,"A,C,R"
106,04122345,"S,A,I"
106,04122346,"A,I,R,S"
