年度,學號,
108,06121173,"C,E,S"
108,06121174,"A,E"
108,06121182,"A,C,I,R,S,E"
108,06121204,"A,R"
108,06121206,"S,A,E"
108,06121208,"E,S"
108,06121211,"C,I,S"
108,06121212,"C,E,I"
108,06121213,"C,E,I"
108,06121221,"C,E,S"
108,06121222,"C,R,A"
108,06121224,"C,S,I"
108,06121225,"C,A,I"
108,06121226,"C,S"
108,06121227,"C,E,R"
108,06121228,"S,E,A"
108,06121229,"C,A,R"
108,06121230,"C,E,S"
108,06121231,"A,I"
108,06121232,"I,C"
108,06121233,"A,R,S"
108,06121234,"A,R,C"
108,06121235,"C,E"
108,06121236,"A,S,C,R"
108,06121238,"A,E,S"
108,06121239,"E,A,C"
108,06121240,"E,A"
108,06121242,"S,A,C"
108,06121243,"C,I,R"
108,06121244,"C,E,A"
108,06121245,"I,A,C"
108,06121246,"E,S,I"
108,06121247,"S,E"
108,06121248,"C,I,S"
108,06121249,"S,A,C"
108,06121250,"A,I,S"
108,06121252,"C,I,E"
108,06121253,"A,E"
108,06121254,"E,A,S"
108,06121255,"E,A,S"
108,06121274,"I,R,A,S"
108,06121282,"E,R"
108,06121303,"R,A,C"
108,06121304,"C,E,I"
108,06121305,"A,E,S"
108,06121306,"E,S,C"
108,06121307,"S,A,E"
108,06121310,"C,S,R"
108,06121312,"A,C,I,R"
108,06121314,"C,E"
108,06121316,"A,S,E"
108,06121317,"C,E"
108,06121320,"C,S"
108,06121321,"E,S"
108,06121323,"S,E"
108,06121324,"E,C"
108,06121327,"C,A,E"
108,06121328,"S,A,R"
108,06121330,A
108,06121332,"A,C,S"
108,06121333,"A,C,E,R"
108,06121334,"E,A,I"
108,06121336,"E,A,C"
108,06121337,"C,I,S"
108,06121338,"A,E,S"
108,06121340,"C,E,I"
108,06121341,"S,A,C"
108,06121342,"A,S"
108,06121343,"A,E"
108,06121344,"C,I,R"
108,06121345,"E,A,S"
108,06121346,"A,E,I,R"
108,06121347,"A,E"
108,06121348,"S,E"
108,06121349,"C,A"
108,06121350,"C,A,E"
108,06121352,"S,A,C,E"
108,06121354,"C,I"
108,06121356,"S,E"
108,06121357,"I,E,R"
108,06121358,"R,C"
108,06121374,"R,A,E,I"
108,06121382,"A,I,R"
108,06121384,"A,E,S"
108,06121387,"A,S"
108,06121388,"C,E,R"
108,06121389,"E,S,A"
108,06121390,"A,R"
108,06121501,"C,R,A"
108,06121601,"I,R,A"
108,06122107,"A,C,E,S"
108,06122118,"A,E,I"
108,06122134,"A,I,S"
108,06122144,"A,E,S"
108,06122207,"S,E,A"
108,06122208,"S,E,C"
108,06122219,"C,S,I"
108,06122222,"C,S,E"
108,06122256,"A,E,R"
108,06122304,"C,R,A"
108,06122386,"S,C,I"
108,06123001,"C,I"
108,06123002,"C,A,I"
108,06123004,"C,A,E"
108,06123005,"I,C,S"
108,06123006,"C,S,A"
108,06123007,"A,C,I"
108,06123008,"C,I,A"
108,06123009,"A,E,I,R"
108,06123010,"E,S,A"
108,06123011,"S,C,A"
108,06123012,"A,E,S"
108,06123013,"E,S,C,R"
108,06123015,"R,I,S"
108,06123016,"E,I,A,C"
108,06123017,"A,C,I"
108,06123018,"A,E"
108,06123019,"C,R,I"
108,06123020,"A,C,S"
108,06123021,"R,C,I"
108,06123022,"C,A,R"
108,06123023,"S,A,R"
108,06123024,"C,A,S"
108,06123025,"S,A"
108,06123026,"C,A,E"
108,06123027,"S,C,E"
108,06123028,"A,I,R"
108,06123029,"E,S"
108,06123030,"C,E,R"
108,06123032,"C,A,E"
108,06123033,"C,E,I"
108,06123034,"A,E,C"
108,06123035,"I,R,C,S"
108,06123036,"E,C,S"
108,06123037,"S,C,E"
108,06123041,"A,E,C"
108,06123042,"A,E,S"
108,06123043,"A,R"
108,06123044,"S,R"
108,06123045,"S,A"
108,06123046,"C,E,S"
108,06123047,"E,A,S"
108,06123049,"I,R"
108,06123050,"E,S"
108,06123051,"A,E"
108,06123052,"A,E,I"
108,06123053,"E,S,R"
108,06123054,"C,A,I"
108,06123055,"E,I,A"
108,06123056,"S,R"
108,06123057,"I,C,S"
108,06123058,"S,A,E"
108,06123059,"A,E,S"
108,06123081,"I,S,R"
108,06123083,"R,A"
108,06131001,"I,R,E"
108,06131002,"C,S"
108,06131003,"I,C,R,S"
108,06131007,"I,R,C,S"
108,06131008,"R,S"
108,06131013,"I,C"
108,06131015,"R,A,E,I"
108,06131021,"C,E,R,S"
108,06131022,"A,E,S"
108,06131026,"C,I"
108,06131027,"R,A,C,S"
108,06131028,"E,C,R"
108,06131029,"I,C,E,S"
108,06131030,"E,A,S"
108,06131031,"R,A"
108,06131032,"S,I,C"
108,06131034,"S,C,E"
108,06131035,"C,I,R,S"
108,06131038,"C,I"
108,06131039,"I,R,E,S"
108,06131044,"R,C"
108,06131047,"A,R,I"
108,06131048,"S,C,I"
108,06131051,"S,C,I"
108,06131052,"C,R"
108,06131053,"C,I"
108,06131054,"R,I,C"
108,06131056,"S,A,C"
108,06131057,"I,C,R"
108,06131058,"R,C,E,I"
108,06131091,"S,A"
108,06131093,"C,I"
108,06132001,"I,R"
108,06132002,"A,S,I"
108,06132005,"E,C,I"
108,06132006,"A,I"
108,06132008,"I,R,E"
108,06132009,"I,R,C"
108,06132010,"C,A,E,S"
108,06132011,"R,S"
108,06132012,"C,S,E"
108,06132015,"C,S,A"
108,06132016,I
108,06132017,"C,I,R,S"
108,06132019,"R,I"
108,06132021,"A,E,I,S"
108,06132022,"I,A"
108,06132023,"C,I,S"
108,06132026,"I,S"
108,06132029,"A,E,I"
108,06132030,"A,I,C,R"
108,06132032,"A,I,R"
108,06132037,"E,R,I"
108,06132038,"A,E,S"
108,06132039,"R,I,C"
108,06132040,"I,A"
108,06132041,"R,I,C"
108,06132042,"I,A,R"
108,06132043,"S,I,A"
108,06132044,"I,R"
108,06132045,"A,I"
108,06132046,"I,A"
108,06132048,"A,C,R"
108,06132050,"R,E,I"
108,06132051,"S,I"
108,06132052,"A,E,I,R"
108,06132053,"A,I,E,R"
108,06132054,"I,C,S"
108,06132056,"I,A,C"
108,06132057,"A,I,S"
108,06132059,"I,R,S"
108,06132061,"A,I,R,S"
108,06132083,"R,I"
108,06132084,"I,R,C"
108,06133001,"I,R,C"
108,06133003,"I,C,R"
108,06133005,"C,I,S"
108,06133006,"I,C"
108,06133014,"I,R,S"
108,06133018,"E,A"
108,06133020,"I,R,S"
108,06133021,"I,R,A"
108,06133022,"S,A,E"
108,06133025,"I,R,S"
108,06133026,"C,I,R"
108,06133027,"C,I,R"
108,06133029,"A,I"
108,06133030,"S,E"
108,06133031,"I,R,C"
108,06133032,"I,C,R"
108,06133034,"C,I,S"
108,06133035,"I,C"
108,06133036,"I,S,A"
108,06133037,"I,R,C"
108,06133038,"I,R"
108,06133040,"I,A,E"
108,06133042,"C,I,R"
108,06133043,"I,S,C"
108,06133044,"I,R,C,S"
108,06133047,"I,R,A"
108,06133048,"S,I,A"
108,06133051,"S,R,E"
108,06133052,"A,C,I,S"
108,06133053,"I,C,E,R"
108,06133055,"E,C,S"
108,06133082,"I,R,C"
108,06133084,"I,C,E"
108,06134002,"C,I,S"
108,06134003,"I,R,C"
108,06134004,"S,I,E"
108,06134005,"A,E"
108,06134007,"A,I,C"
108,06134008,"I,R"
108,06134009,"A,C,R"
108,06134010,"E,S"
108,06134011,"E,I,C,S"
108,06134012,"A,C,E,R"
108,06134013,"A,I"
108,06134014,"C,I,R,S"
108,06134015,"R,I"
108,06134016,"I,R"
108,06134018,"I,A,R"
108,06134019,"E,C,I"
108,06134020,"I,A,C,R"
108,06134021,"I,R"
108,06134022,"C,I,E"
108,06134023,"I,R,C"
108,06134024,"E,C,I,R"
108,06134025,"C,S"
108,06134028,"A,S,I"
108,06134030,"R,C,I"
108,06134031,"I,C,R"
108,06134033,"S,I,R"
108,06134034,"I,A"
108,06134035,"A,R,I"
108,06134036,"A,I"
108,06134039,"I,S,R"
108,06134040,"C,I,E,R"
108,06134041,"I,C,R"
108,06134043,"I,S"
108,06134044,"C,I,R,S"
108,06134045,"I,R,S"
108,06134047,"C,I,R"
108,06134049,"I,C,E"
108,06134050,"A,S,I"
108,06134052,"I,E"
108,06134054,"C,E,R,S"
108,06134058,"I,S"
108,06134059,"A,E,R"
108,06134071,"R,C"
108,06134081,"A,I,C"
108,06134082,"A,C,E"
108,06134084,"E,C"
108,06134085,"S,C"
108,06134088,"I,A,R"
108,06135001,"A,I,R"
108,06135002,"S,A"
108,06135003,"A,S,R"
108,06135004,"S,E"
108,06135007,"C,I,A,E"
108,06135008,"E,A"
108,06135009,"E,C,S"
108,06135010,"C,E,I"
108,06135011,"S,I"
108,06135013,"A,S"
108,06135016,"E,C,S"
108,06135017,"A,E,S"
108,06135019,"A,C,R,S"
108,06135020,"E,A,I,S"
108,06135021,"C,S"
108,06135022,"I,C,E"
108,06135024,"I,R,S"
108,06135026,"S,C,I,R"
108,06135027,"E,A,S"
108,06135028,"A,S"
108,06135029,"C,S,E"
108,06135030,"S,C,A"
108,06135031,"C,R,S"
108,06135032,"C,S,E"
108,06135033,"S,I,R"
108,06135034,"E,S,C"
108,06135035,"E,I,S"
108,06135037,"S,C"
108,06135040,"C,S,E"
108,06135042,"S,A"
108,06135043,"S,A,E"
108,06135044,"A,R,S"
108,06135045,"A,C,E"
108,06135046,"S,I,E"
108,06135048,"A,S,E"
108,06135049,"A,C,E,S"
108,06135050,"S,I,C"
108,06135051,"A,S,I"
108,06135052,"S,C,A"
108,06135053,"I,S"
108,06135054,"C,A,S"
108,06135055,"I,R,E"
108,06135056,"C,A,I,R"
108,06135057,"C,A,I"
108,06135058,"S,C"
108,06135059,"C,E,A"
108,06135060,"A,C,E"
108,06135062,"A,S,C"
108,06135076,"A,C,I,R"
108,06135081,"I,S,C"
108,06135082,"S,C"
108,06135083,"S,A"
108,06135902,"A,I"
108,06141101,"C,I,R"
108,06141103,"E,C,I"
108,06141104,"A,R,C"
108,06141105,"A,E,I"
108,06141106,"C,S,A"
108,06141108,"I,C,R"
108,06141110,"C,R,S"
108,06141111,"I,E,S"
108,06141113,"C,A"
108,06141114,"I,C,S"
108,06141115,"A,I,C"
108,06141116,"C,S,E"
108,06141117,"C,I,S"
108,06141118,"C,E,S"
108,06141119,"E,R,I"
108,06141120,"C,S"
108,06141122,"E,C,S"
108,06141123,"I,S,C"
108,06141124,"I,R"
108,06141125,"R,I,S"
108,06141128,"S,A,C"
108,06141129,"A,C"
108,06141130,"C,R"
108,06141131,"E,C,I"
108,06141133,"I,R,C"
108,06141135,"C,E,R"
108,06141136,"C,S,E"
108,06141137,"S,E,C"
108,06141138,"E,I,S"
108,06141143,"S,E"
108,06141144,"A,C,I,S"
108,06141145,"S,C"
108,06141148,"C,E,I"
108,06141149,"I,C,S"
108,06141150,"I,A,E,S"
108,06141201,"A,I"
108,06141202,"C,I,R"
108,06141204,"C,I,E"
108,06141206,"C,I,R"
108,06141208,A
108,06141209,"S,R"
108,06141211,"C,I,R"
108,06141212,"C,S,I"
108,06141213,"S,C,R"
108,06141214,"C,E,R"
108,06141216,"A,C,I,R"
108,06141217,"E,R"
108,06141222,"S,E,A"
108,06141223,"C,E,A"
108,06141224,"A,E,I,R"
108,06141225,"C,I,S"
108,06141226,"S,C"
108,06141227,"A,S,R"
108,06141228,"E,S,C"
108,06141230,"A,S,I,R"
108,06141233,"C,I,R"
108,06141235,"C,I,R"
108,06141238,"C,I,A"
108,06141239,"S,A,R"
108,06141240,"S,C,R"
108,06141241,"C,I,R"
108,06141244,"E,C"
108,06141245,"A,C"
108,06141246,"C,I,S"
108,06141247,"A,S,I"
108,06141248,"A,S,I"
108,06141251,"R,A,C,E"
108,06141253,"S,C,E"
108,06141254,"S,E,R"
108,06141255,"E,C"
108,06141256,"E,A,R"
108,06141281,"S,E,I"
108,06141285,"I,E"
108,06141303,"S,C,I"
108,06141305,"C,I,R"
108,06141306,"S,A,I"
108,06141307,"A,S,I"
108,06141310,"A,I,C"
108,06141320,"S,C,A"
108,06141321,"S,E,I"
108,06141325,"A,C,R"
108,06141327,"C,A,I"
108,06141329,"A,E"
108,06141330,"C,S"
108,06141331,"C,R,S"
108,06141332,"S,C"
108,06141333,"A,S,I"
108,06141334,"R,C,E,S"
108,06141335,"A,I,R"
108,06141339,"E,I,S"
108,06141346,"S,A,R"
108,06141348,"S,A"
108,06141350,"C,E,S"
108,06141353,"E,S,A,R"
108,06141354,"R,S"
108,06141384,"C,E,R,S"
108,06141385,"S,I,A"
108,06141388,"C,I,S"
108,06141401,"C,I,S"
108,06141402,"E,C,S"
108,06141403,"A,S,E"
108,06141404,"S,E,A"
108,06141409,"R,C"
108,06141411,"A,I,S"
108,06141413,"S,A,E"
108,06141414,"A,I,R"
108,06141415,"C,I,R"
108,06141418,"C,E,I"
108,06141419,"A,C"
108,06141420,"C,E,R"
108,06141424,"C,E,S"
108,06141425,"S,C,I"
108,06141427,"C,R"
108,06141428,"C,R,I"
108,06141430,"C,R,I"
108,06141432,"A,C,I"
108,06141433,"C,A,I,S"
108,06141434,"C,S,R"
108,06141436,"S,A,C"
108,06141439,"E,C"
108,06141440,"A,I,S"
108,06141441,"A,C,S"
108,06141443,"S,A,E"
108,06141444,"A,S"
108,06141445,E
108,06141447,"S,C,E"
108,06141448,"C,S,E"
108,06141449,"A,R,S"
108,06141451,"I,A,E,S"
108,06141453,"C,E,S"
108,06141454,"C,I,R"
108,06141455,"I,E,R"
108,06141456,"R,I,C"
108,06141461,"C,I"
108,06151108,"C,E,I,R"
108,06151109,"R,C,E"
108,06151110,"C,I,R"
108,06151111,"A,S,C"
108,06151112,"I,S,A"
108,06151113,"C,R"
108,06151114,"C,E,A"
108,06151117,"I,R,S"
108,06151118,"C,S,I,R"
108,06151119,"C,E,I"
108,06151120,"A,C"
108,06151121,"C,E,S"
108,06151125,"I,A,E"
108,06151127,"E,C"
108,06151129,"E,A,S"
108,06151130,"S,C,R"
108,06151131,"C,I,R"
108,06151132,"C,A,E"
108,06151133,"E,C"
108,06151135,"A,R"
108,06151136,"C,E"
108,06151138,"C,I"
108,06151139,"C,S"
108,06151140,"C,I"
108,06151141,"E,S,I"
108,06151142,"C,S"
108,06151143,"C,S,A"
108,06151144,"C,I,R"
108,06151146,"I,E"
108,06151147,"C,S,E"
108,06151150,"C,I,S"
108,06151151,"C,I"
108,06151152,"A,C,R"
108,06151153,"E,C"
108,06151158,"C,A,E,S"
108,06151181,"C,I,R"
108,06151183,"I,A,S"
108,06151184,"C,E,R"
108,06151185,"S,C,I"
108,06151187,"S,E"
108,06151188,"C,E,R,S"
108,06151189,"I,C,E,S"
108,06151202,"A,S,R"
108,06151205,"E,C"
108,06151206,"C,R"
108,06151207,"E,A"
108,06151209,"C,R,S"
108,06151210,"C,E,I,S"
108,06151211,"C,S,I"
108,06151212,"C,I,E,R"
108,06151215,"E,S,A"
108,06151216,"E,A"
108,06151219,"C,I,E"
108,06151220,"C,A,I"
108,06151221,"C,I,R"
108,06151222,"C,E,I"
108,06151223,"C,I,S"
108,06151225,"I,A,R"
108,06151226,"E,C,I"
108,06151227,"C,E"
108,06151229,"C,R,E"
108,06151230,"E,S"
108,06151232,"C,E,S"
108,06151233,"S,C,E,R"
108,06151234,"C,R"
108,06151235,"C,E"
108,06151236,"S,C"
108,06151238,"C,A,E,S"
108,06151239,"C,I,S"
108,06151241,"S,C,E"
108,06151242,"C,S"
108,06151243,"C,S,E"
108,06151244,"E,I,C"
108,06151245,"S,A,E"
108,06151246,"C,E"
108,06151247,"E,S"
108,06151248,"C,A,R"
108,06151249,"C,E,S"
108,06151250,"C,R,S"
108,06151251,"C,I,R"
108,06151253,"A,C,E"
108,06151255,"C,R"
108,06151256,"C,E,R"
108,06151258,"A,E"
108,06151281,"S,I"
108,06151282,"E,R,C"
108,06151283,"C,I"
108,06151284,"S,A"
108,06151285,"A,I,R,S"
108,06151286,"R,C,I"
108,06151292,"C,E,R"
108,06151303,"C,S,I"
108,06151305,"S,C,E"
108,06151306,"A,C,S"
108,06151307,"R,C,S"
108,06151308,"C,A,E,S"
108,06151310,"C,I,E"
108,06151311,"C,E"
108,06151314,"C,I,R"
108,06151316,"C,I,R"
108,06151317,"E,S,C"
108,06151322,"C,A,I"
108,06151323,"C,R"
108,06151324,"C,S,E"
108,06151326,"C,S,R"
108,06151328,"C,I,R"
108,06151329,"R,C,A"
108,06151330,"C,I,A"
108,06151332,"C,E,R,S"
108,06151333,"E,S"
108,06151337,"C,E"
108,06151339,"I,E,R"
108,06151340,"C,I,R"
108,06151341,"E,I,C"
108,06151342,"R,I,E"
108,06151343,"E,C"
108,06151344,"C,I,A"
108,06151345,"S,R,A"
108,06151346,"C,E,R"
108,06151347,"E,C,S"
108,06151348,"E,C"
108,06151350,"I,R,C"
108,06151351,"C,E,I"
108,06151353,"A,R,I"
108,06151354,"C,R,A"
108,06151355,"R,E,I"
108,06151357,"E,C,I"
108,06151358,"C,S"
108,06151381,"E,I,A"
108,06151383,"C,S"
108,06151385,"C,E,S"
108,06151386,"A,E"
108,06151387,"A,E,I"
108,06151501,"A,R,E"
108,06151601,"I,C,E,R"
108,06152101,"C,E,I"
108,06152102,"R,A,I"
108,06152103,"S,A,C"
108,06152104,"S,C,E"
108,06152105,E
108,06152110,"C,A,E"
108,06152112,"A,S,I"
108,06152114,"C,A,I"
108,06152115,"C,R"
108,06152121,"R,C"
108,06152126,"E,S"
108,06152127,"C,I,R"
108,06152128,"C,S,I"
108,06152129,"I,E,R"
108,06152131,"E,R,S"
108,06152132,"A,E,C"
108,06152133,"E,A"
108,06152134,"A,R,I"
108,06152135,"C,A,R"
108,06152136,"C,E"
108,06152137,E
108,06152143,"S,A,E"
108,06152144,"C,S,E"
108,06152149,"C,E,S"
108,06152157,"C,I,E"
108,06152158,"A,R,I"
108,06152181,"I,A"
108,06152182,"C,I,R"
108,06152183,"A,I,R,S"
108,06152184,"C,A,I"
108,06152185,"C,E"
108,06152186,"C,A,I"
108,06152203,"E,A,C"
108,06152205,"S,A,C,I"
108,06152209,"C,I,R"
108,06152210,"C,I,R"
108,06152215,"C,S,E"
108,06152216,"A,C"
108,06152219,"C,R,I"
108,06152220,"S,E"
108,06152221,"C,R,I"
108,06152225,"C,S,E"
108,06152226,"C,A,R"
108,06152228,"S,C,I"
108,06152239,"C,S,A"
108,06152244,"A,I,C"
108,06152246,"R,C,I"
108,06152247,"A,S,I"
108,06152250,"C,E,S"
108,06152251,"A,R"
108,06152252,"C,S,A"
108,06152253,"A,I,S"
108,06152257,"A,C,R"
108,06152281,"C,E,I,R"
108,06152301,"C,R,S"
108,06152303,"A,C,R"
108,06152306,"C,S,E,R"
108,06152308,"I,A,R"
108,06152309,"C,I,R"
108,06152310,"I,R,C"
108,06152311,"C,E,R"
108,06152314,"C,E,A"
108,06152317,"E,I,R"
108,06152318,"C,A,E"
108,06152320,"A,E,I,R"
108,06152322,"S,C,I"
108,06152325,"C,I,S"
108,06152326,"C,R,S"
108,06152328,"C,I,S"
108,06152330,"E,A,I"
108,06152331,"C,I,S"
108,06152336,"I,R"
108,06152339,"C,E"
108,06152340,"A,R,C,E"
108,06152341,"C,R"
108,06152342,"C,S"
108,06152343,"C,E,S"
108,06152344,"C,S,R"
108,06152345,"C,R,S"
108,06152346,"R,C"
108,06152350,I
108,06152351,"C,I,S"
108,06152352,"C,I"
108,06152353,"S,A,C,I"
108,06152354,"C,E,S"
108,06152355,"C,E"
108,06152356,"E,C,R,S"
108,06152357,"C,R,E"
108,06152401,"E,R,A"
108,06152402,"C,E,S"
108,06152403,"I,C,S"
108,06152405,"C,R,I"
108,06152406,S
108,06152407,"C,E,I"
108,06152409,"C,E,I"
108,06152410,"E,S"
108,06152411,"A,C,E"
108,06152413,"C,R"
108,06152414,"A,C,I"
108,06152416,"C,A,I,R"
108,06152418,"C,I,R,S"
108,06152419,"C,E,I,R"
108,06152420,"C,R,A"
108,06152421,"S,A,C"
108,06152422,"S,A,C"
108,06152423,"C,R"
108,06152424,"C,A,R"
108,06152427,"C,R,S"
108,06152428,"A,R"
108,06152429,"C,R"
108,06152430,"C,I,R"
108,06152431,"C,I,R"
108,06152433,"E,C,A"
108,06152434,"E,A,C"
108,06152436,"R,I"
108,06152437,"C,E,R"
108,06152438,"C,R,I"
108,06152440,"A,S,C"
108,06152441,"C,E,I"
108,06152442,"C,I,R"
108,06152443,"A,C,I"
108,06152444,"A,I"
108,06152446,"A,R,S"
108,06152447,"E,I,R"
108,06152448,"C,E"
108,06152449,"C,I"
108,06152450,"S,C,R"
108,06152451,"S,R"
108,06152452,"R,S"
108,06152453,"I,S,C,E"
108,06152454,"C,S"
108,06152455,"I,A"
108,06152456,"E,I,R,S"
108,06152457,R
108,06152458,"I,C,R"
108,06152471,"C,I,R"
108,06152481,"C,A,E,S"
108,06152482,"I,C,S"
108,06152501,"E,C"
108,06152601,"A,S"
108,06153102,"C,E,I,S"
108,06153104,"S,C,I"
108,06153105,"A,S,E"
108,06153107,"A,R,C"
108,06153109,"E,C"
108,06153110,"A,C,E"
108,06153112,"E,I,C"
108,06153113,"C,A"
108,06153115,"C,E,S"
108,06153116,"C,I,R"
108,06153118,"C,E"
108,06153119,"E,C,A"
108,06153120,"E,I,R"
108,06153124,"C,S"
108,06153127,"A,S"
108,06153128,"C,E,I,S"
108,06153129,"E,A"
108,06153131,"R,I,C"
108,06153132,"E,C,S"
108,06153133,"C,E,R"
108,06153134,"E,I,A"
108,06153135,"A,E,R,S"
108,06153136,"A,E,C"
108,06153138,"A,R"
108,06153139,"E,A"
108,06153140,"E,R,I"
108,06153143,"E,C"
108,06153144,"S,C,E,I"
108,06153145,"C,E"
108,06153147,"C,E,S"
108,06153148,"C,E,R"
108,06153151,"C,E,S"
108,06153152,"E,C,R"
108,06153153,"A,E,I"
108,06153154,"A,E"
108,06153155,"C,E,R"
108,06153156,"E,C,S"
108,06153157,"R,I,C"
108,06153158,"C,S"
108,06153172,"A,S,R"
108,06153201,"I,R,E"
108,06153202,"A,E,C,S"
108,06153203,"C,R,I"
108,06153204,"A,I,R"
108,06153205,"C,E,A"
108,06153208,"E,A,C"
108,06153210,"E,S,C"
108,06153216,"C,E,R"
108,06153217,"C,S,E"
108,06153218,"A,I"
108,06153221,"E,C,S"
108,06153223,"A,I,S"
108,06153224,"A,E,C"
108,06153227,"E,A,I"
108,06153228,"C,I"
108,06153229,"C,E,S"
108,06153231,"C,A,I,S"
108,06153232,"C,S"
108,06153234,"C,E,S"
108,06153235,"C,E,A"
108,06153236,"E,I,S"
108,06153240,"E,S,I"
108,06153242,"C,R,I"
108,06153243,"E,A,S"
108,06153244,"R,C,E"
108,06153245,"A,C,E"
108,06153246,"C,I,S"
108,06153249,"R,A,C"
108,06153250,"C,E,R,S"
108,06153252,"E,I,C"
108,06153253,"C,R,S"
108,06153254,"E,C"
108,06153256,"E,A,C"
108,06153257,"E,S"
108,06153281,"C,E"
108,06153282,"A,I,R"
108,06153301,"A,C,R"
108,06153302,"C,I,S"
108,06153304,"C,R"
108,06153305,"C,E,S"
108,06153306,"E,S,C"
108,06153307,"C,E"
108,06153308,"S,C,I"
108,06153311,"C,E,S"
108,06153312,"C,A,I"
108,06153313,"A,C"
108,06153314,"A,E,R"
108,06153317,"C,S,I"
108,06153318,"C,E"
108,06153320,"E,S,A"
108,06153321,"E,C,R"
108,06153322,"C,A"
108,06153323,"S,E"
108,06153324,"C,E,S"
108,06153325,"A,S,R"
108,06153326,"C,S"
108,06153327,"C,A,I,R"
108,06153328,"A,E"
108,06153329,"S,C,A"
108,06153330,"E,S,C"
108,06153331,"C,I,S"
108,06153332,"C,E"
108,06153333,"S,A"
108,06153334,"E,S,A"
108,06153335,"S,I,R"
108,06153336,"S,C"
108,06153341,"C,S"
108,06153342,"S,E"
108,06153344,"E,C,R"
108,06153345,"E,C,R"
108,06153346,"A,E,I"
108,06153347,S
108,06153348,"E,R,C"
108,06153349,"A,E,C"
108,06153350,"A,S,E"
108,06153351,"R,I,S"
108,06153352,"C,R,I"
108,06153353,"C,A,S"
108,06153354,"E,A,S"
108,06153355,"C,S,A"
108,06153356,"A,E,I"
108,06153357,"C,E"
108,06153382,"A,I,R"
108,06153384,"E,A,C"
108,06153385,"S,C,E"
108,06153387,"C,S"
108,06153388,"E,S,C,I"
108,06153390,"E,S,C,I"
108,06153401,"C,E,A"
108,06153402,"C,E,S"
108,06153403,"E,I,C"
108,06153404,"C,S"
108,06153405,"C,E,S"
108,06153407,"C,E"
108,06153408,"R,S,A,C"
108,06153409,"C,E"
108,06153410,"C,S,E"
108,06153411,"A,E,R"
108,06153412,"C,I"
108,06153413,"C,I,R"
108,06153414,"A,E,I"
108,06153415,"S,A,C"
108,06153416,"A,C,R"
108,06153418,"E,S"
108,06153419,"E,C,S"
108,06153420,"E,I"
108,06153421,"E,C,S"
108,06153422,"C,E,I"
108,06153424,"E,S,C"
108,06153425,"C,E,I"
108,06153427,"C,I,E"
108,06153429,"C,A,R"
108,06153430,"C,E"
108,06153431,"A,S"
108,06153432,"C,E,I,S"
108,06153433,"C,E"
108,06153434,"C,E,I,R"
108,06153435,"E,C"
108,06153436,"A,C,R"
108,06153437,"C,E,S"
108,06153440,"S,C,I"
108,06153441,"R,I"
108,06153442,"C,E"
108,06153443,"C,A,E"
108,06153444,"E,I,A"
108,06153445,"A,S"
108,06153446,"E,S,A,R"
108,06153447,"S,E,A"
108,06153448,"E,S,R"
108,06153449,"C,S,A"
108,06153450,"A,C,E,I,R,S"
108,06153451,"E,C,S"
108,06153452,"C,R,I"
108,06153453,"E,A,S"
108,06153455,"C,I,S"
108,06153456,"C,A,S"
108,06153457,"I,R,E"
108,06153481,"C,S"
108,06153484,"A,E,C"
108,06153485,"R,S"
108,06154101,"C,R,A"
108,06154102,"C,R,I"
108,06154103,"C,E,S"
108,06154104,"C,S"
108,06154106,"E,C,R"
108,06154107,"C,E"
108,06154109,"C,E"
108,06154110,"C,R,S"
108,06154113,"I,C,E"
108,06154115,S
108,06154116,"C,E,R,S"
108,06154117,"E,C,R"
108,06154118,"R,E,I"
108,06154119,"E,A"
108,06154120,"A,E,I"
108,06154121,"C,E,I"
108,06154122,"I,A,C"
108,06154123,"E,A,C,S"
108,06154124,"A,E,I"
108,06154125,"R,A,E,S"
108,06154126,"A,S"
108,06154127,"C,A,E"
108,06154128,"E,I"
108,06154129,"E,A"
108,06154130,"C,I"
108,06154131,"E,S,C"
108,06154132,"C,S,A,I"
108,06154133,"E,S,C"
108,06154134,"A,C"
108,06154135,"A,C,E"
108,06154136,"C,E,A"
108,06154137,"E,S,C"
108,06154139,"E,I,R"
108,06154141,"A,I,R"
108,06154144,"E,C,S"
108,06154145,"A,I,S"
108,06154147,"E,S,C"
108,06154148,"C,I,R"
108,06154149,"I,E"
108,06154152,"A,I,C"
108,06154153,"E,C,S"
108,06154156,"E,C,I"
108,06154157,"E,C"
108,06154158,"S,A,R"
108,06154159,"C,A,S"
108,06154172,"S,C"
108,06154174,"R,C,S"
108,06154186,"A,S,E,R"
108,06154201,"A,E"
108,06154203,"S,E"
108,06154205,"C,E,S"
108,06154206,"A,C,E,S"
108,06154208,"E,C"
108,06154209,"S,R"
108,06154210,"E,C"
108,06154213,"A,C,E,R,S,I"
108,06154214,"C,E,S"
108,06154215,"C,S,E,I"
108,06154216,"E,A,C"
108,06154217,"C,E,S"
108,06154218,"C,E,S"
108,06154219,"E,C"
108,06154221,"A,C,E"
108,06154222,"C,I"
108,06154223,C
108,06154225,"E,I,R,S"
108,06154229,"C,E,I"
108,06154230,"C,E,R"
108,06154232,"C,E,A"
108,06154235,"I,S,A"
108,06154236,"A,E,I,S"
108,06154237,"E,A,R"
108,06154238,"A,E,S"
